Anatomy and Physiology,Astronomy,Boomilever,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Detector Building,Disease Detective,Dynamic Planet,Experimental Design,Forensics,Fossils,Geologic Mapping,Gravity Vehicle,Machines,Ornithology,Ping Pong Parachute,Protein Modeling,Sounds of Music,Water Quality,Wright Stuff,Write It Do It,Data Science,Solar Power
49.6,37.01,75,13.1,47,885,54,61,40.1,35,81,45.5,86.5,15,417.78,39.45333333,40.2,3.5,36.85057117,49.23,47,1.97,45.6,NS,NS
49,37,74,13,46.1,835,53.5,5.6,40,33.5,76,45,86,14.5,1330,39.35666667,40.1,3.37,33.58139868,46.43,46.5,1.53,45.5,NS,NS
46.5,36,46,11.1,46,760,51.5,96.6,39,33,73,40.5,84.1,14,1366,38.68666667,40,3.25,31.54746521,36.85,45,1.36,45.1,NS,NS
45,34,7,11,44,725.1,49.5,83.4,35.5,29,72,39,84,13.75,1382,37.18666667,38,3.22,31.32661103,28.69,43.51,0.83,45,NS,NS
37.5,33.5,6,10,41.5,725,46.5,49.2,35,28.6,70,37.51,80,13.5,1384.9,25.19666667,36,3.19,29.81339109,21.61,43.5,0.26,44,NS,NS
31,32.5,5,8.1,41,710,42,31.6,27.5,28.5,66,37.5,70,13.25,1594,15.01666667,34,2.91,29.19574505,21.52,41.5,5.02,41.5,NS,NS
30,31.01,4,8,33,660,40.5,28.4,23,27,65,36.5,69.1,13,1754,15.00083333,30.5,3.12,28.0104251,21.28,39,4.81,41,NS,NS
29,31,3,7,32,460,36.1,6.8,16.5,25,63,34.5,69,12,1840,15,30,2.38,17.84838996,16.43,38.5,2.13,33,NS,NS
26.5,27,2,6.1,29,435,36,4.4,10.5,23.6,61,33.5,68,9,1728,10,27,NS,15.17140545,8.182,37.5,0.73,31,NS,NS
20,24.01,1,6,28,360,35,NS,10,23.5,59,33.01,66,6,9999,NS,23,NS,12.95352324,7.753,34,NS,24,NS,NS
18,24,NS,5,27.5,310,33,NS,9,15,54.1,33,56,NS,NS,NS,22,NS,NS,NS,24.5,NS,23,NS,NS
15,11,NS,3,26,225,32,NS,8.5,NS,54,20,53,NS,NS,NS,20,NS,NS,NS,22.5,NS,16.5,NS,NS
NS,NS,NS,NS,NS,NS,26.5,NS,7,NS,52,0.01,43,NS,NS,NS,19,NS,NS,NS,NS,NS,16,NS,NS
NS,NS,NS,NS,NS,NS,21.5,NS,NS,NS,35,0.001,NS,NS,NS,NS,16.5,NS,NS,NS,NS,NS,14,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,45,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
